ORDER_SHOP_CD,Surface_COMMERC,Emplacement_PDV,Coord_L2E_II_X,Coord_L2E_II_Y
79MOBINOIR,114.0,CV,388930.0,2152059.0
88PHSEVITT,150.0,CV,868288.0,2361941.0
91620FW6-4,97.0,CC,595380.0,2407804.0
11MOBICARC,77.0,CC,599324.0,1802709.0
75PHSEPAR1,154.0,CV,600772.0,2429369.0
76MOBINEUT,37.0,CV,535503.0,2526587.0
69PHSEHUGO,68.0,CV,794066.0,2087089.0
49000FK1-A,60.0,CC,379004.0,2278362.0
34PHSEROLS,62.0,CC,729817.0,1842527.0
74PHSESALL,152.0,CV,932836.0,2113047.0
30MOBINIMM,96.0,CC,761504.0,1870456.0
95PHSEGONE,75.0,CC,606991.0,2443533.0
38080FD8-4,171.0,CC,825249.0,2072170.0
79MOBITHOU,64.0,CV,405885.0,2222780.0
08200FM6-2,86.0,CV,788436.0,2525721.0
47MOBIVILL,49.0,CC,472384.0,1935720.0
63PHSECLER,49.0,CC,661011.0,2087329.0
45MOBIOLIV,47.0,CC,568222.0,2318672.0
57600FV2-3,130.0,CV,933069.0,2475308.0
06000XDY-B,114.0,CV,997581.0,1868240.0
91PHSEETAM,104.0,CV,587066.0,2381668.0
83400FC5-2,116.0,CV,909139.0,1798182.0
38301FD8-2,161.0,CV,828235.0,2069663.0
71PHSEPARA,107.0,CV,736998.0,2162884.0
62PHSECOQU,131.0,CC,562910.0,2660281.0
92PHSEISSY,128.0,CC,593805.0,2424665.0
73PHSECHA1,110.0,CV,879646.0,2069273.0
71PHSELOUH,92.0,CV,821023.0,2185108.0
592234AI-7,131.0,CC,656489.0,2638448.0
78100FY7-2,71.0,CV,581887.0,2433299.0
03200FQ4-2,160.0,CC,683917.0,2125764.0
67302FG5-0,124.0,CC,996865.0,2419645.0
42100746-1,91.0,CC,763072.0,2051099.0
83170FC5-1,116.0,CV,901045.0,1829918.0
06500FD7-5,107.0,CV,1016402.0,1877464.0
131273DR-5,100.0,CC,837017.0,1830055.0
60MOBICREP,52.0,CV,640126.0,2470743.0
78300FD9-4,61.0,CV,578373.0,2436917.0
91150FS8-3,104.0,CV,587066.0,2381668.0
73PHSEAIXB,66.0,CV,878522.0,2083028.0
44PHSESTGE,198.0,CC,333645.0,2269724.0
67PHSESTRA,142.0,CC,998601.0,2412297.0
28PHSEMARG,142.0,CC,488500.0,2371138.0
77MOBICOU1,116.0,CV,654943.0,2424311.0
41350HFQ-Q,174.0,CC,527668.0,2286407.0
57210FU8-3,159.0,CC,877749.0,2473065.0
07PHSETOUR,90.0,CV,796241.0,2010869.0
83300FP3-1,155.0,CV,933643.0,1845908.0
01PHSEBELL,66.0,CV,860472.0,2089912.0
25000FX1-1,128.0,CC,873469.0,2252398.0
55MOBIVERD,42.0,CV,822418.0,2467007.0
49MOBIMURS,46.0,CC,383715.0,2270530.0
26PHSEVALE,93.0,CC,804615.0,1997976.0
80044FZ3-6,131.0,CC,595903.0,2540728.0
17300FY4-1,151.0,CV,344314.0,2109282.0
51MOBICOUR,130.0,CC,721153.0,2477387.0
36PHSEARGE,148.0,CV,537325.0,2176959.0
13001MC2-8,462.0,CV,847071.0,1815190.0
82017FH7-2,123.0,CV,521254.0,1891175.0
36020FG9-1,134.0,CV,551023.0,2201519.0
71019FG3-2,147.0,CV,792337.0,2148003.0
330000TI-4,105.0,CV,369467.0,1986616.0
10MOBIBARB,40.0,CC,733168.0,2368110.0
69PHSELYO2,154.0,CC,792990.0,2085566.0
34976FK6-A,244.0,CC,728785.0,1843554.0
34MOBILUN2,53.0,CV,745419.0,1854373.0
84300FR6-4,45.0,CV,817701.0,1874189.0
26100FE4-5,106.0,CV,813947.0,2008628.0
77102FS6-0,109.0,CC,638377.0,2440158.0
94PHSETHIA,123.0,CC,602676.0,2417518.0
44110FC1-2,84.0,CV,321462.0,2308638.0
85302FC7-2,183.0,CV,278790.0,2213915.0
89MOBIIGNY,85.0,CC,677796.0,2331706.0
280009HR-5,141.0,CV,537065.0,2383311.0
79PHSEPART,81.0,CV,402104.0,2186372.0
69PHSECALU,90.0,CC,795950.0,2092367.0
69PHSEVILL,136.0,CV,797777.0,2088392.0
59155LMZ-5,79.0,CC,652800.0,2621100.0
31PHSELABE,103.0,CC,532946.0,1839058.0
87MOBILIM1,65.0,CC,518898.0,2098229.0
