ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise,decision
06PHSETRIN,771,154200.0,50.46978021978022,8.625344232850546,PériUrbain en croissance,CC,111.0,Réseau Partenaire,329,156,286,42.7,20.2,37.1,85000.0,69200.0,1.81,True,65.9,9537.5,Locale (<10km),DÉVELOPPER
07200FK7-1,975,195000.0,56.288503253796094,164.49875083971412,Résidence secondaire,CV,148.0,Agence Distribution,595,137,243,61.0,14.1,24.9,65000.0,130000.0,3.0,True,-97.4,12087.5,Régionale (>20km),MAINTENIR
07300FE4-3,2,400.0,59.0,,PériUrbain en croissance,,,Agence Distribution,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,0.0,-75.0,Inconnu,FERMER
07APVEAUBE,15,3000.0,51.666666666666664,,Résidence secondaire,,,,0,0,15,0.0,0.0,100.0,65000.0,-62000.0,0.05,False,-92.9,87.5,Inconnu,FERMER
07AUCHGRAN,2,400.0,64.0,,PériUrbain en croissance,,,,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,,-75.0,Inconnu,FERMER
07GTPROAUB,27,5400.0,45.666666666666664,,Rural traditionnel,,,,0,0,27,0.0,0.0,100.0,65000.0,-59600.0,0.08,False,,237.5,Inconnu,FERMER
07GTPRODAV,67,13400.0,52.28125,,Rural dynamique,,,,0,0,67,0.0,0.0,100.0,65000.0,-51600.0,0.21,False,135.0,737.5,Inconnu,FERMER
07GTPROPRI,40,8000.0,51.22222222222222,,PériUrbain en croissance,,,,0,0,40,0.0,0.0,100.0,65000.0,-57000.0,0.12,False,22.2,400.0,Inconnu,FERMER
07GTPROTOU,69,13800.0,52.333333333333336,,Rural dynamique,,,,0,0,69,0.0,0.0,100.0,65000.0,-51200.0,0.21,False,87.5,762.5,Inconnu,FERMER
07MOBIDAVE,4,800.0,54.0,,Rural dynamique,CC,105.0,Réseau Partenaire,0,0,4,0.0,0.0,100.0,85000.0,-84200.0,0.01,False,,-50.0,Inconnu,FERMER
07MOBIPRIV,1,200.0,49.0,,Pavillonnaire familial,CV,43.0,Réseau Partenaire,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
07MOBITOUR,4,800.0,61.5,,Rural dynamique,CV,90.0,Réseau Partenaire,0,0,4,0.0,0.0,100.0,65000.0,-64200.0,0.01,False,,-50.0,Inconnu,FERMER
07PHSEAUBE,575,115000.0,52.10679611650485,217.96225282039953,PériUrbain en croissance,CV,148.0,,235,133,207,40.9,23.1,36.0,65000.0,50000.0,1.77,True,,7087.5,Régionale (>20km),MAINTENIR
07PHSEDAVE,1052,210400.0,48.63991769547325,164.9537860724137,Rural dynamique,CV,106.0,Réseau Partenaire,320,251,481,30.4,23.9,45.7,65000.0,145400.0,3.24,True,7.1,13050.0,Régionale (>20km),MAINTENIR
07PHSEGUIL,10,2000.0,43.0,,Rural traditionnel,CC,36.0,Réseau Partenaire,0,0,10,0.0,0.0,100.0,85000.0,-83000.0,0.02,False,-57.1,25.0,Inconnu,FERMER
07PHSEPRIV,531,106200.0,50.39165009940358,80.697357080633,PériUrbain en croissance,CV,37.0,Réseau Partenaire,215,160,156,40.5,30.1,29.4,65000.0,41200.0,1.63,True,18.5,6537.5,Régionale (>20km),DÉVELOPPER
07PHSETOUR,989,197800.0,49.484391819160386,16.089160686388198,Urbain classe moyenne,CV,90.0,Réseau Partenaire,383,226,380,38.7,22.9,38.4,65000.0,132800.0,3.04,True,-15.5,12262.5,Semi-locale (10-20km),MAINTENIR
08011FM6-3,17,3400.0,49.0,705.1862263538604,PériUrbain en croissance,CV,153.0,Agence Distribution,10,0,7,58.8,0.0,41.2,65000.0,-61600.0,0.05,False,-11.1,112.5,Régionale (>20km),FERMER
08PHSESEDA,2,400.0,44.0,,PériUrbain en croissance,CV,81.0,Réseau Partenaire,2,0,0,100.0,0.0,0.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu,FERMER
09100FW1-4,15,3000.0,53.61538461538461,367.2731067521586,Résidence secondaire,CV,122.0,Agence Distribution,10,2,3,66.7,13.3,20.0,65000.0,-62000.0,0.05,False,-12.5,87.5,Régionale (>20km),FERMER
09PHSESTGI,3,600.0,54.0,501.3056757231996,Rural traditionnel,CV,52.0,Réseau Partenaire,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Régionale (>20km),FERMER
